transaction_id,email,card_number,ip,fingerprint,price,timestamp,merchant,product
TXN_0030,mike.johnson@outlook.com,3714498387134858,172.16.0.200,fp_clean_10,499.99,2025-06-02T16:13:26.409125,TestStore,Product_6
TXN_0031,temp@10minutemail.com,4242424035924111,172.16.0.9,fp_clean_17,9999.99,2025-06-01T16:13:26.409125,TestStore,Product_7
TXN_0032,lisa.brown@company.com,40000007678035892,172.16.0.200,fp_clean_10,199.99,2025-06-05T16:13:26.409125,TestStore,Product_10
TXN_0033,user@mailinator.com,3714498258693528,10.0.0.50,fp_repeat_777,9999.99,2025-06-15T16:13:26.409125,TestStore,Product_2
TXN_0034,sarah.smith@yahoo.com,3714491001127671,172.16.0.200,fp_clean_15,499.99,2025-06-12T16:13:26.409125,TestStore,Product_9
TXN_0035,lisa.brown@company.com,4242423727143742,10.0.0.50,fp_clean_8,19.99,2025-06-22T16:13:26.409125,TestStore,Product_8
TXN_0036,temp@10minutemail.com,1234563484304311,172.16.0.9,fp_repeat_777,9999.99,2025-06-27T16:13:26.409125,TestStore,Product_1
TXN_0037,lisa.brown@company.com,40000009388579593,10.0.0.50,fp_clean_5,99.99,2025-05-29T16:13:26.409125,TestStore,Product_7
TXN_0038,user@mailinator.com,9999991647144732,172.16.0.9,fp_repeat_777,49.99,2025-06-03T16:13:26.409125,TestStore,Product_2
TXN_0039,john.doe@gmail.com,40000003149511278,192.168.1.100,fp_clean_18,299.99,2025-06-14T16:13:26.409125,TestStore,Product_1
TXN_0040,john.doe@gmail.com,3782828642157830,203.0.113.10,fp_clean_18,199.99,2025-06-01T16:13:26.410380,TestStore,Product_2
TXN_0041,temp@10minutemail.com,3782828137528706,198.51.100.22,fp_xyz789,499.99,2025-06-09T16:13:26.410380,TestStore,Product_7
TXN_0042,mike.johnson@outlook.com,3782826195037607,172.16.0.200,fp_clean_5,499.99,2025-06-09T16:13:26.410380,TestStore,Product_4
TXN_0043,test@tempmail.com,4111115146754571,10.0.0.50,fp_clean_12,499.99,2025-06-25T16:13:26.410380,TestStore,Product_2
TXN_0044,mike.johnson@outlook.com,3714496225923708,10.0.0.50,fp_clean_10,19.99,2025-06-16T16:13:26.410380,TestStore,Product_8
TXN_0045,lisa.brown@company.com,3714497021035003,203.0.113.10,fp_clean_8,299.99,2025-06-17T16:13:26.410380,TestStore,Product_2
TXN_0046,mike.johnson@outlook.com,4242426088614479,10.0.0.50,fp_clean_19,199.99,2025-06-10T16:13:26.410380,TestStore,Product_2
TXN_0047,david.wilson@business.org,3714494110498308,172.16.0.200,fp_clean_19,499.99,2025-06-27T16:13:26.410380,TestStore,Product_4
TXN_0048,john.doe@gmail.com,3714499506793964,203.0.113.10,fp_clean_13,49.99,2025-06-16T16:13:26.410380,TestStore,Product_5
TXN_0049,john.doe@gmail.com,40000006936259080,203.0.113.10,fp_clean_19,99.99,2025-06-18T16:13:26.410380,TestStore,Product_10
TXN_0050,temp@10minutemail.com,1234567928483760,203.0.113.10,fp_clean_14,199.99,2025-05-29T16:13:26.410380,TestStore,Product_10
TXN_0051,john.doe@gmail.com,3782822726584048,172.16.0.200,fp_clean_4,499.99,2025-06-23T16:13:26.410380,TestStore,Product_5
TXN_0052,sarah.smith@yahoo.com,3714497800369967,172.16.0.200,fp_clean_17,19.99,2025-05-28T16:13:26.410380,TestStore,Product_3
TXN_0053,sarah.smith@yahoo.com,3714497963243681,192.168.1.100,fp_clean_15,299.99,2025-06-27T16:13:26.410380,TestStore,Product_5
TXN_0054,user@mailinator.com,9999994493814253,198.51.100.22,fp_abc123,0.01,2025-06-08T16:13:26.410380,TestStore,Product_6
TXN_0055,sarah.smith@yahoo.com,3714497195977451,172.16.0.200,fp_clean_15,19.99,2025-06-16T16:13:26.410380,TestStore,Product_7
TXN_0056,mike.johnson@outlook.com,3782825757761341,10.0.0.50,fp_clean_17,19.99,2025-05-31T16:13:26.410380,TestStore,Product_1
TXN_0057,john.doe@gmail.com,3714491487369794,10.0.0.50,fp_clean_5,199.99,2025-06-16T16:13:26.410380,TestStore,Product_7
TXN_0058,john.doe@gmail.com,4242421441036912,10.0.0.50,fp_clean_4,49.99,2025-06-21T16:13:26.410380,TestStore,Product_9
TXN_0059,david.wilson@business.org,3782827812749198,10.0.0.50,fp_clean_1,499.99,2025-06-15T16:13:26.410380,TestStore,Product_8
TXN_0060,sarah.smith@yahoo.com,3782823132779534,10.0.0.50,fp_clean_18,99.99,2025-05-30T16:13:26.410380,TestStore,Product_8
TXN_0061,mike.johnson@outlook.com,3714499689677508,10.0.0.50,fp_clean_11,99.99,2025-06-24T16:13:26.410380,TestStore,Product_8
TXN_0062,john.doe@gmail.com,3714499918366859,10.0.0.50,fp_clean_9,49.99,2025-06-17T16:13:26.410380,TestStore,Product_9
TXN_0063,temp@10minutemail.com,40000007780035917,203.0.113.10,fp_clean_16,99.99,2025-06-12T16:13:26.410380,TestStore,Product_3
TXN_0064,mike.johnson@outlook.com,3714497709063198,192.168.1.100,fp_clean_16,99.99,2025-06-27T16:13:26.410380,TestStore,Product_2
TXN_0065,sarah.smith@yahoo.com,3782825680688300,192.168.1.100,fp_clean_15,19.99,2025-06-18T16:13:26.410380,TestStore,Product_2
TXN_0066,mike.johnson@outlook.com,3714492635289055,203.0.113.10,fp_clean_5,49.99,2025-06-10T16:13:26.410380,TestStore,Product_5
TXN_0067,user@mailinator.com,1234566352068067,203.0.113.45,fp_repeat_777,9999.99,2025-06-25T16:13:26.410380,TestStore,Product_5
TXN_0068,user@mailinator.com,9999998710817729,198.51.100.22,fp_abc123,0.01,2025-06-25T16:13:26.410380,TestStore,Product_1
TXN_0069,mike.johnson@outlook.com,3714497233633242,10.0.0.50,fp_clean_11,99.99,2025-06-18T16:13:26.410380,TestStore,Product_7
TXN_0070,sarah.smith@yahoo.com,40000009510516183,192.168.1.100,fp_clean_7,499.99,2025-05-30T16:13:26.410380,TestStore,Product_1
TXN_0071,sarah.smith@yahoo.com,3714491152808141,192.168.1.100,fp_clean_7,199.99,2025-06-18T16:13:26.410380,TestStore,Product_8
TXN_0072,test@tempmail.com,3782829183381806,172.16.0.9,fp_abc123,299.99,2025-05-29T16:13:26.410380,TestStore,Product_9
TXN_0073,lisa.brown@company.com,3782824943258738,203.0.113.10,fp_clean_7,499.99,2025-06-14T16:13:26.410380,TestStore,Product_1
TXN_0074,temp@10minutemail.com,3714495836978762,192.168.1.100,fp_clean_4,499.99,2025-06-09T16:13:26.410380,TestStore,Product_8
TXN_0075,sarah.smith@yahoo.com,40000005679998192,10.0.0.50,fp_clean_8,99.99,2025-06-05T16:13:26.410380,TestStore,Product_4
TXN_0076,sarah.smith@yahoo.com,3714495631465546,172.16.0.200,fp_clean_15,99.99,2025-06-01T16:13:26.410380,TestStore,Product_7
TXN_0077,mike.johnson@outlook.com,3782824070828874,192.168.1.100,fp_clean_7,199.99,2025-06-25T16:13:26.410380,TestStore,Product_7
TXN_0078,john.doe@gmail.com,4242429924187947,172.16.0.200,fp_clean_12,99.99,2025-06-23T16:13:26.410380,TestStore,Product_2
TXN_0079,david.wilson@business.org,3782821170011669,203.0.113.10,fp_clean_9,99.99,2025-06-04T16:13:26.410380,TestStore,Product_1
TXN_0080,mike.johnson@outlook.com,3782823030519836,192.168.1.100,fp_clean_14,299.99,2025-06-02T16:13:26.410380,TestStore,Product_9
TXN_0081,temp@10minutemail.com,1234565835379396,198.51.100.22,fp_xyz789,0.01,2025-06-04T16:13:26.410380,TestStore,Product_4
TXN_0082,david.wilson@business.org,3782827218169131,192.168.1.100,fp_clean_15,199.99,2025-06-19T16:13:26.410380,TestStore,Product_8
TXN_0083,temp@10minutemail.com,1234565213795118,172.16.0.9,fp_abc123,0.99,2025-05-30T16:13:26.410380,TestStore,Product_9
TXN_0084,sarah.smith@yahoo.com,3782823802909824,10.0.0.50,fp_clean_1,49.99,2025-05-30T16:13:26.410380,TestStore,Product_8
TXN_0085,user@mailinator.com,1234561671839400,198.51.100.22,fp_repeat_777,499.99,2025-06-22T16:13:26.410380,TestStore,Product_8
TXN_0086,david.wilson@business.org,4242425266403436,203.0.113.10,fp_clean_4,0.01,2025-06-18T16:13:26.410380,TestStore,Product_8
TXN_0087,mike.johnson@outlook.com,3782827283714884,203.0.113.10,fp_clean_6,99.99,2025-06-24T16:13:26.410380,TestStore,Product_5
TXN_0088,sarah.smith@yahoo.com,40000004788692413,172.16.0.200,fp_clean_4,499.99,2025-06-21T16:13:26.410380,TestStore,Product_3
TXN_0089,john.doe@gmail.com,4242421358579692,203.0.113.10,fp_clean_8,299.99,2025-06-27T16:13:26.410380,TestStore,Product_7
TXN_0090,sarah.smith@yahoo.com,4242423420958299,10.0.0.50,fp_clean_11,19.99,2025-06-04T16:13:26.410380,TestStore,Product_1
TXN_0091,lisa.brown@company.com,4242428027723368,172.16.0.200,fp_clean_3,499.99,2025-06-22T16:13:26.410380,TestStore,Product_9
TXN_0092,john.doe@gmail.com,3782822109304740,203.0.113.10,fp_clean_17,99.99,2025-06-15T16:13:26.410380,TestStore,Product_8
TXN_0093,mike.johnson@outlook.com,3782828099763000,203.0.113.10,fp_clean_5,299.99,2025-06-22T16:13:26.410380,TestStore,Product_2
TXN_0094,mike.johnson@outlook.com,40000009775691025,203.0.113.10,fp_clean_15,49.99,2025-06-09T16:13:26.410380,TestStore,Product_2
TXN_0095,mike.johnson@outlook.com,3714495481879229,10.0.0.50,fp_clean_5,49.99,2025-05-29T16:13:26.410380,TestStore,Product_5
TXN_0096,mike.johnson@outlook.com,3714496616027294,203.0.113.10,fp_clean_3,49.99,2025-06-05T16:13:26.410380,TestStore,Product_9
TXN_0097,lisa.brown@company.com,40000003340861787,192.168.1.100,fp_clean_1,199.99,2025-05-31T16:13:26.410380,TestStore,Product_8
TXN_0098,john.doe@gmail.com,3782826684915709,203.0.113.10,fp_clean_2,99.99,2025-05-30T16:13:26.410380,TestStore,Product_3
TXN_0099,mike.johnson@outlook.com,3782827989049970,203.0.113.10,fp_clean_4,499.99,2025-06-26T16:13:26.410380,TestStore,Product_2
TXN_0100,david.wilson@business.org,4242427899123816,172.16.0.200,fp_clean_5,299.99,2025-05-31T16:13:26.410380,TestStore,Product_2
